attendance,quiz1,quiz2,quiz3,quiz4,assignment1,assignment2,assignment3,assignment4,midterm,final_exam,pass_fail,needs_support
43.86,31.08,41.2,31.14,31.12,19.88,48.38,47.31,28.59,28.64,28.35,0,1
62.66,55.77,71.25,64.68,55.42,66.67,58.31,73.35,57.01,62.28,42.18,0,1
40.0,28.27,43.45,36.31,15.25,42.53,44.98,45.03,43.92,28.39,26.64,0,1
64.59,82.51,77.13,63.79,73.41,82.06,91.47,78.88,91.68,40.73,82.38,1,1
54.02,57.89,60.96,75.13,69.26,81.95,72.38,68.5,76.36,60.9,62.3,1,1
40.0,40.76,34.57,38.38,16.01,43.3,40.64,25.89,41.02,34.96,60.87,1,1
92.45,100.0,100.0,100.0,83.41,100.0,100.0,90.46,98.12,84.58,100.0,1,0
84.42,89.24,74.73,90.08,82.26,82.61,86.3,95.38,79.03,84.6,96.95,1,0
43.69,39.39,37.14,36.67,37.63,40.98,45.95,40.57,29.43,44.76,47.42,0,1
82.98,71.0,81.13,65.98,71.96,84.06,87.4,86.89,91.29,77.83,94.21,1,0
40.0,30.97,40.35,37.94,32.48,34.59,44.42,46.57,35.47,20.09,28.08,0,1
40.0,56.95,58.89,38.64,62.05,57.35,57.34,57.35,84.05,53.08,59.59,1,1
45.43,75.43,33.61,59.14,36.15,60.13,64.6,79.76,68.31,56.87,39.57,0,1
83.86,77.93,65.68,74.65,98.98,83.57,82.14,100.0,90.61,65.24,91.55,1,0
40.0,12.76,16.07,0.0,7.73,2.96,12.48,0.0,2.92,24.84,21.56,0,1
96.45,90.73,93.36,99.22,94.01,100.0,87.85,100.0,82.13,88.93,98.63,1,0
40.0,17.51,11.58,16.64,14.81,17.93,7.83,0.0,3.75,0.0,20.13,0,1
40.0,32.99,43.92,32.67,29.25,41.16,45.15,33.84,57.12,21.31,23.24,0,1
44.02,53.84,42.62,35.83,40.87,54.0,59.95,45.62,50.72,48.8,52.81,1,1
89.2,70.54,100.0,87.88,90.86,98.49,89.29,100.0,100.0,87.6,94.92,1,0
90.1,83.21,74.5,82.48,87.21,83.78,100.0,96.84,100.0,78.9,92.0,1,0
40.49,20.16,42.91,45.0,48.99,33.72,58.94,53.72,40.53,16.73,52.82,1,1
40.0,26.32,26.73,21.76,32.49,20.32,35.55,39.75,43.6,14.33,23.23,0,1
99.0,74.76,82.27,99.85,93.74,98.43,75.89,80.49,73.65,79.73,92.14,1,0
40.0,34.78,30.62,10.27,30.05,34.96,35.34,27.13,39.84,37.91,28.04,0,1
40.0,13.1,25.53,28.02,4.62,26.85,34.16,31.55,30.68,32.81,35.02,0,1
74.24,97.54,94.89,100.0,100.0,100.0,77.12,90.29,89.54,87.53,91.3,1,0
79.71,63.92,72.62,96.4,82.8,69.36,76.13,70.65,66.59,81.77,91.75,1,0
40.0,38.36,35.64,44.76,35.97,52.4,48.6,51.18,51.47,33.59,38.95,0,1
40.9,39.13,8.92,31.75,33.27,46.44,28.04,40.81,31.65,26.51,36.81,0,1
47.1,33.4,25.6,31.34,21.59,36.53,45.27,31.67,33.54,18.49,33.51,0,1
93.46,93.57,100.0,89.31,73.77,100.0,100.0,100.0,99.32,100.0,73.96,1,0
40.0,6.33,22.71,1.82,2.48,0.0,0.0,17.08,8.22,0.0,8.29,0,1
40.0,57.18,53.41,27.0,46.14,34.1,60.29,53.56,47.88,44.69,32.07,0,1
69.62,56.99,69.61,83.72,78.35,71.37,70.7,69.18,76.15,93.36,70.14,1,0
40.0,40.83,49.41,55.83,34.95,46.06,36.11,46.17,45.95,8.77,42.59,0,1
56.0,49.17,40.8,77.6,52.45,50.6,62.26,55.94,58.1,80.7,40.79,0,1
